App,First Author,Year of Publication,Overall RoB,CBT,Control,Controlcdtn,grp1m,grp1sd,grp1n,grp2m,grp2sd,grp2n,Rate,ChangeRate,Change Fx,Change Cats,Effectsize,grp1event,grp2event,Total Cats,DepInst,AnxInst,Total Fx,Primary Task Support Features,Dialogue Support Features,Social Support Features,Credibility Support,PrimPresent,DialPresent,SocPresent,CredPresent,Duration of Intervention (weeks),severity
FOCUS,Ben-Zeev,2019,3,NA,OtherTx,Inperson,4.58,11.867,43,2.92,12.57,81,0.26,0.04,6,3,0.1338,11.18,17.82,3,BDI,NA,6,2,2,0,2,1,1,0,1,12,2
Aptivate,Dahne 1,2019,2,NA,OtherTx,App,13.79,12.33,22,11.25,8.19,9,0.863636364,0.530636364,1,1,0.2181,13,3,2,BDI,NA,6,4,2,0,0,1,1,0,0,8,4
Moodivate,Dahne 2,2019,2,NA,OtherTx,App,12.21,13.15,24,13.36,11.51,28,0.5,0,4,0,-0.0921,12,14,2,BDI,NA,10,6,4,0,0,1,1,0,0,8,2
CBMA,Enock,2014,2,NA,OtherTx,App,16.6,30.7,158,14.6,31.3,141,0.759493671,0.021905018,0,0,0.0644,120,104,2,NA,LSAS,4,2,2,0,0,1,1,0,0,4,3
Todac Todac,Hur,2018,2,CBT,OtherTx,Diary,12.65,7.09,24,9.59,10.32,24,0.708333333,0,9,3,0.34,17,17,3,BDI,NA,9,3,2,4,0,1,1,1,0,3,2
Be Good to Yourself,Ludtke,2018,3,CBT,Waitlist,Waitlist,1.38,5.56,45,2.05,6.05,45,0.777777778,-0.088888889,9,3,-0.1143,35,39,3,PHQ9,NA,9,3,3,0,3,1,1,0,1,4,2
MT-Phoenix,Lukas,2019,3,CBT,Waitlist,Waitlist,3.54,4.07,40,1.39,4.69,37,0.35,-0.622972973,5,2,0.4861,14,36,2,PHQ9,NA,5,2,3,0,0,1,1,0,0,2,2
BA intervention,Ly,2014,2,NA,OtherTx,App,6.7,3.85,40,6.03,5.84,41,0.9,0.02195122,7,1,0.1338,36,36,3,PHQ9,NA,9,4,2,0,3,1,1,0,1,8,2
Pacifica,Moberg,2019,3,CBT,Waitlist,Waitlist,2.3,6.362389488,253,0.5,4.714870094,247,0.312252964,-0.096653918,9,4,0.3204,79,101,4,PHQ8,GAD7,9,5,2,1,1,1,1,1,1,8.571428571,2
IntelliCare w recs,Mohr,2019,3,NA,OtherTx,App,5.04,4.75,151,5.04,4.75,150,0.940397351,-0.052935982,0,0,0,142,149,2,PHQ9,GAD7,7,4,3,0,0,1,1,0,0,8,2
Superbetter  CBT,Roepke A1,2015,2,CBT,Waitlist,Waitlist,4.29,6.01,93,0.71,5.01,93,0.215053763,-0.172043011,8,4,0.6444,20,36,4,NA,GAD7,8,4,1,1,2,1,1,1,1,4,2
Superbetter SB,Roepke A2,2015,2,NA,Waitlist,Waitlist,4.05,4.09,97,0.71,5.01,93,0.18556701,-0.201529764,8,4,0.729,18,36,4,NA,GAD7,8,4,1,1,2,1,1,1,1,4,2
iCBT,Stolz,2018,2,CBT,OtherTx,PC,6.9,12.3,60,6.9,8.1,60,0.7,-0.066666667,5,1,0,42,46,1,BDI,LSAS,5,5,0,0,0,1,0,0,0,12,2
EVO,Pratap,2018,3,NA,OtherTx,App,NA,NA,83,NA,NA,79,0.5,0,1,1,NA,41.5,39.5,3,NA,NA,4,2,1,0,1,1,1,0,1,4,NA
Get Happy Program,Watts,2013,3,CBT,OtherTx,PC,NA,NA,22,NA,NA,30,0.454545455,-0.045454545,6,3,NA,10,15,3,NA,NA,6,2,1,0,3,1,1,0,1,8,3
Boost Me,Stiles-Shields A1,2019,2,NA,Waitlist,Waitlist,8.6,3.95,10,4.8,5.58,10,1,0,3,2,0.7529,10,10,2,PHQ9,NA,3,2,1,0,0,1,1,0,0,6,3
Thought Challenger,Stiles-Shields A2,2019,2,NA,Waitlist,Waitlist,13.57,3.82,10,4.8,5.58,10,1,0,3,1,1.7566,10,10,1,PHQ9,NA,3,3,0,0,0,1,0,0,0,6,3